matricule_camion;date_trans;kilometrage;type_camion;objectif_camion;capacite;heure_depart;jour_semaine;latitude;longitude;quantite_station;quantite_gps;conditions_meteo;weathercode_raw;type_trajet;city;zone;gouvernorat;delegation
8936 TU 190;2026-01-15T04:49:12.000Z;553;IVC;27;297.85;5;4;36.407535;10.560812;178.85;181.30;ensoleillé;0;route_principale;منارة الحمامات;ville;ولاية نابل;معتمدية الحمامات
3278 TU 198;2026-01-15T04:07:02.000Z;333;NPR;16;534.4582245;5;4;35.567972;10.612630;67.00;69.02;nuageux;3;autoroute;الهدادرة;ville;ولاية المنستير;معتمدية جمّال
8331 TU 215;2026-01-15T03:58:37.000Z;173;NPR;16;237.7567164;4;4;35.568003;10.612155;39.29;39.86;peu nuageux;1;autoroute;الهدادرة;ville;ولاية المنستير;معتمدية جمّال
9610 TU 204;2026-01-15T03:34:00.000Z;1239;NPR;16;496.2962963;4;4;35.722267;10.752618;88.16;57.12;nuageux;2;route_secondaire;الساحلين الشرقية;ville;ولاية المنستير;معتمدية الساحلين
966 TU 216;2026-01-15T03:19:24.000Z;388;NPR;16;478.6538462;4;4;35.722282;10.752745;40.30;25.06;nuageux;2;route_secondaire;الساحلين الشرقية;ville;ولاية المنستير;معتمدية الساحلين
4924 TU 199;2026-01-14T17:25:26.000Z;645;SURG;15;182.3903369;18;3;34.671318;10.687028;75.57;67.90;ensoleillé;0;route_secondaire;سيدي عبيد;ville;ولاية صفاقس;معتمدية طينة
8012 TU 204;2026-01-14T15:47:27.000Z;420;NPR;16;219.1988347;16;3;36.527010;10.554842;63.48;63.32;ensoleillé;0;route_principale;بو عرقوب الشمالية;ville;ولاية نابل;معتمدية بو عرقوب
834 TU 181;2026-01-14T15:42:32.000Z;378;SURG;13;269.25;16;3;34.575245;10.582410;39.29;34.50;ensoleillé;0;route_principale;نَقطة;ville;ولاية صفاقس;معتمدية المحرس
8579 TU 232;2026-01-14T15:09:59.000Z;390;NPR;16;426.256605;16;3;36.473432;10.718885;69.02;66.85;ensoleillé;0;route_principale;النور;ville;ولاية نابل;معتمدية نابل
2486 TU 192;2026-01-14T15:08:35.000Z;339;NPR;16;439.8121212;16;3;36.523313;10.560473;50.38;50.11;ensoleillé;0;route_principale;بو عرقوب الجنوبية;ville;ولاية نابل;معتمدية بو عرقوب
6062 TU 197;2026-01-14T14:21:08.000Z;271;NPR;16;211.0556382;15;3;36.601692;10.497015;51.39;49.04;ensoleillé;0;inconnu;قرمبالية;ville;ولاية نابل;معتمدية قرمبالية
6311 TU 197;2026-01-14T11:40:13.000Z;758;IVC;26;227.94;12;3;36.641390;10.574502;223.17;220.08;ensoleillé;0;route_secondaire;زاوية الجديدي;ville;ولاية نابل;معتمدية بني خلاد
4601 TU 169;2026-01-14T10:59:34.000Z;802;NPR;16;249.5481728;11;3;35.790318;10.669725;70.53;71.80;ensoleillé;0;route_principale;قصيبة الشط;ville;ولاية سوسة;معتمدية سوسة سيدي عبد الحميد
8317 TU 215;2026-01-14T10:28:58.000Z;280;NPR;16;211.0556382;11;3;36.711727;10.180295;51.39;53.19;ensoleillé;0;route_principale;فوشانة;ville;ولاية بن عروس;معتمدية فوشانة
4593 TU 169;2026-01-14T10:07:10.000Z;431;;;88.81987578;11;3;36.395328;10.155185;65.49;23.57;ensoleillé;0;route_secondaire;زغوان الجنوبية;ville;ولاية زغوان;معتمدية زغوان
2156 TU 174;2026-01-14T09:46:32.000Z;356;NPR;16;123.6363636;10;3;36.711793;10.180223;60.96;59.64;ensoleillé;0;route_principale;فوشانة;ville;ولاية بن عروس;معتمدية فوشانة
9616 TU 204;2026-01-14T08:24:10.000Z;438;NPR;16;162.372549;9;3;37.143577;10.103100;65.49;61.56;ensoleillé;0;route_secondaire;عوسجة;ville;ولاية بنزرت;معتمدية غار الملح
1181 TU 202;2026-01-14T07:43:57.000Z;534;NPR;16;274.155194;8;3;37.264497;9.886565;85.64;80.29;ensoleillé;0;route_principale;جرزونة;ville;ولاية بنزرت;معتمدية جرزونة
4935 TU 199;2026-01-14T07:24:49.000Z;307;SURG;15;150.824;8;3;36.332323;9.139350;55.42;53.18;ensoleillé;0;route_principale;الكريب;ville;ولاية سليانة;معتمدية الكريب
6068 TU 197;2026-01-14T06:42:16.000Z;470;NPR;16;237.1026677;7;3;36.807317;10.137575;83.12;88.50;ensoleillé;0;inconnu;تونس;ville;ولاية تونس;inconnu
834 TU 181;2026-01-13T18:26:42.000Z;337;SURG;13;269.25;19;2;34.575330;10.582385;30.23;26.25;ensoleillé;0;route_secondaire;نَقطة;ville;ولاية صفاقس;معتمدية المحرس
5083 TU 175;2026-01-13T17:02:15.000Z;352;NPR;16;433.7054208;18;2;36.714068;10.167973;57.93;62.69;ensoleillé;0;route_secondaire;المغيرة;ville;ولاية بن عروس;معتمدية فوشانة
5501 TU 205;2026-01-13T16:23:04.000Z;516;SURG;14;174.5447606;17;2;36.580032;10.492598;70.53;68.74;ensoleillé;0;autoroute;تركي;ville;ولاية نابل;معتمدية قرمبالية
8567 TU 204;2026-01-13T15:36:01.000Z;345;NPR;16;189.6059078;16;2;35.508687;11.022112;50.38;45.97;ensoleillé;0;route_secondaire;هيبون;ville;ولاية المهدية;معتمدية المهدية
966 TU 216;2026-01-13T15:24:19.000Z;628;NPR;16;478.6538462;16;2;35.590722;10.742683;71.54;66.86;ensoleillé;0;route_principale;جمال الغربية;ville;ولاية المنستير;معتمدية جمّال
4924 TU 199;2026-01-13T15:06:45.000Z;340;SURG;15;182.3903369;16;2;34.862340;9.784520;51.89;42.59;ensoleillé;0;inconnu;الرقاب;ville;ولاية سيدي بوزيد;معتمدية الرقاب
9914 TU 215;2026-01-13T15:03:11.000Z;428;NPR;16;263.7600644;16;2;36.580055;10.492472;65.49;65.43;ensoleillé;0;autoroute;تركي;ville;ولاية نابل;معتمدية قرمبالية
3278 TU 198;2026-01-13T15:00:14.000Z;407;NPR;16;534.4582245;16;2;35.568143;10.612538;74.56;74.43;ensoleillé;0;autoroute;الهدادرة;ville;ولاية المنستير;معتمدية جمّال
2486 TU 192;2026-01-13T13:56:20.000Z;382;NPR;16;439.8121212;14;2;36.075820;10.403967;77.08;65.56;ensoleillé;0;autoroute;النفيضة;ville;ولاية سوسة;معتمدية النفيضة
4931 TU 199;2026-01-13T13:37:26.000Z;1032;SURG;15;94.93235294;14;2;35.590668;10.742707;75.57;68.59;ensoleillé;0;route_principale;جمال الغربية;ville;ولاية المنستير;معتمدية جمّال
